
;Start
1,A restaurant, the meeting place between rival factions.
1,A group of soldiers on leave, laughing and singing.
1,A former patriot, now looking out only for himself.
1,The byways, stalls, and shops of an exotic marketplace.
1,A master of disguise, who can be anyone at any time.
1,An airport, filled with lonely travelers.
1,A beautiful woman, estranged from her husband.
1,An eminent scientist, sought by all for his knowledge.
1,A network of spies and informants, selling information to the highest bidder.
1,A submarine pen, used as a base for espionage.
1,A secret society, whose membership requirements are… unique.
1,A piano player who sees everything, and keeps most of it to himself.
1,A stalwart hero, the product of years of advanced and secret training, sadly lacking in social abilities.
1,A coded message, delivered unwittingly to the wrong recipient.
1,Jackbooted thugs, oppressing the locals.
1,A glamorous casino, where the games are not entirely on the up-and-up.
1,A shadowy avenger, righting wrongs by night.
1,A highly placed informant, passing secrets to her nations' enemies.
1,A luxury hotel, with a very discreet staff.
1,A group of noted experts, each a master in his field, who seldom agree on anything.
1,A torch singer, dreaming of making the big time.
1,A charming society couple, with a penchant for getting into trouble.
1,A double agent, playing both sides, fearing betrayal from both sides.
1,A stage magician and escape artist, exposing fake mediums and phony psychics.
1,A cult of fanatic believers, dedicated to bringing about the end of the world.
1,A criminal mastermind, holding a city hostage with his latest death machine.
1,A cynical police Captain, patriotic after his own fashion.
1,A series of poisonings, seemingly unrelated.
1,A wealthy philanthropist, secretly funding a network of agents.
1,The secret plans to a terrible new weapon, concealed in a lipstick case.
1,Foreign saboteurs, secretly plotting to plant a bomb.
1,A genius polymath, with the inflexible habit of wearing clothing of only one color at a time.
1,A small boat, freely drifting, abandoned by her crew.
1,A tommy-gun toting gun-moll, spoiling for a fight.
1,A legendary G-man, known for his incorruptibility, and the inflexible way he enforces the law.
1,A wealthy industrialist and inventor, developing an important and secret military project. 
1,A famous actor, accused of treason.
1,A barnstormer, keeping mum about the fact that he flew for an enemy squadron during the Great War.
1,Betrayal by a trusted friend.
1,A victim of blackmail, desperate to keep their secret past a secret.
1,A masterful espionage agent, whose name has been erased from all records; only a number remains.
1,A sigil-ring, bearing the shape of a black-widow spider.
1,Cloaked figures, moving in darkness, surrounding their next victim.
1,A South American Indian, wearing a feathered head-dress and bearing an obsidian knife, discovered dead in the city park.
1,A cargo ship, of uncertain registry, containing elaborate radio-reception gear.
1,A little girl, alone and lost on the streets of an unfamiliar city.
1,Collaborators, working against their government from within.
1,A birthright, bestowed upon an impostor, sought by the rightful heir.
1,A reprobate to whom bastardy proved a spur.
1,A young reporter, more interested in chasing skirts than chasing stories.
1,Dimly flickering neon lights, intermittently illuminating a body sprawled across a hotel bed.
1,An illicit betting parlor, with a dozen bookies and phone-operators on staff.
1,Secrets, once overheard, are secrets no more.
1,The butler for a family of the city's elite; skilled, impeccably dressed, bearing a secret he will keep to his grave.
1,The cigar-chomping editor of a daily newspaper, ready to break the story of a political scandal. 
1,A killer, on the run and seeking asylum.
1,The kingpin of crime in a large city, with a hand in every dirty deal.
1,A two-bit hood, suddenly in possession of a secret that will make him rich -- or get him killed.


